	GCA_002918395	GCF_000409485	GCF_001500285	GSE85906_GcC1	GSE85906_OnM2	bgh_dh14_v4	bgt_96224_GCA_000418435	botrytis_cinerea_b05_GCF_000143535	erysiphe_necator_GCA_000798715	marssonina_brunnea_fsp_MBm1_GCF_000298775	oidiodendron_maius_GCA_000827325	phialocephala_subalpina_GCA_900073065	pseudogymnoascus_destructans_20631_GCF_000184105	res	rhynchosporium_commune_GCA_900074885	sclerotinia_sclerotium_1980_GCF_000146945
OG0013656		XP_008077582_GLLO														
OG0013657		XP_008077583_GLLO														
OG0013658		XP_008077584_GLLO														
OG0013659		XP_008077591_GLLO														
OG0013660		XP_008077597_GLLO														
OG0013661		XP_008077625_GLLO														
OG0013662		XP_008077648_GLLO														
OG0013663		XP_008077654_GLLO														
OG0013664		XP_008077662_GLLO														
OG0013665		XP_008077665_GLLO														
OG0013666		XP_008077666_GLLO														
OG0013667		XP_008077667_GLLO														
OG0013668		XP_008077669_GLLO														
OG0013669		XP_008077680_GLLO														
OG0013670		XP_008077702_GLLO														
OG0013671		XP_008077711_GLLO														
OG0013672		XP_008077713_GLLO														
OG0013673		XP_008077714_GLLO														
OG0013674		XP_008077716_GLLO														
OG0013675		XP_008077717_GLLO														
OG0013676		XP_008077725_GLLO														
OG0013677		XP_008077726_GLLO														
OG0013678		XP_008077732_GLLO														
OG0013679		XP_008077740_GLLO														
OG0013680		XP_008077742_GLLO														
OG0013681		XP_008077743_GLLO														
OG0013682		XP_008077750_GLLO														
OG0013683		XP_008077752_GLLO														
OG0013684		XP_008077771_GLLO														
OG0013685		XP_008077794_GLLO														
OG0013686		XP_008077800_GLLO														
OG0013687		XP_008077801_GLLO														
OG0013688		XP_008077808_GLLO														
OG0013689		XP_008077809_GLLO														
OG0013690		XP_008077810_GLLO														
OG0013691		XP_008077811_GLLO														
OG0013692		XP_008077830_GLLO														
OG0013693		XP_008077838_GLLO														
OG0013694		XP_008077847_GLLO														
OG0013695		XP_008077874_GLLO														
OG0013696		XP_008077883_GLLO														
OG0013697		XP_008077885_GLLO														
OG0013698		XP_008077891_GLLO														
OG0013699		XP_008077927_GLLO														
OG0013700		XP_008077930_GLLO														
OG0013701		XP_008077946_GLLO														
OG0013702		XP_008077952_GLLO														
OG0013703		XP_008077961_GLLO														
OG0013704		XP_008077971_GLLO														
OG0013705		XP_008077973_GLLO														
OG0013706		XP_008077975_GLLO														
OG0013707		XP_008077978_GLLO														
OG0013708		XP_008077979_GLLO														
OG0013709		XP_008077980_GLLO														
OG0013710		XP_008077989_GLLO														
OG0013711		XP_008077998_GLLO														
OG0013712		XP_008078007_GLLO														
OG0013713		XP_008078025_GLLO														
OG0013714		XP_008078026_GLLO														
OG0013715		XP_008078042_GLLO														
OG0013716		XP_008078061_GLLO														
OG0013717		XP_008078083_GLLO														
OG0013718		XP_008078088_GLLO														
OG0013719		XP_008078107_GLLO														
OG0013720		XP_008078108_GLLO														
OG0013721		XP_008078109_GLLO														
OG0013722		XP_008078127_GLLO														
OG0013723		XP_008078130_GLLO														
OG0013724		XP_008078136_GLLO														
OG0013725		XP_008078138_GLLO														
OG0013726		XP_008078139_GLLO														
OG0013727		XP_008078141_GLLO														
OG0013728		XP_008078145_GLLO														
OG0013729		XP_008078148_GLLO														
OG0013730		XP_008078163_GLLO														
OG0013731		XP_008078167_GLLO														
OG0013732		XP_008078180_GLLO														
OG0013733		XP_008078192_GLLO														
OG0013734		XP_008078194_GLLO														
OG0013735		XP_008078196_GLLO														
OG0013736		XP_008078218_GLLO														
OG0013737		XP_008078223_GLLO														
OG0013738		XP_008078226_GLLO														
OG0013739		XP_008078239_GLLO														
OG0013740		XP_008078247_GLLO														
OG0013741		XP_008078248_GLLO														
OG0013742		XP_008078286_GLLO														
OG0013743		XP_008078289_GLLO														
OG0013744		XP_008078292_GLLO														
OG0013745		XP_008078300_GLLO														
OG0013746		XP_008078302_GLLO														
OG0013747		XP_008078306_GLLO														
OG0013748		XP_008078317_GLLO														
OG0013749		XP_008078318_GLLO														
OG0013750		XP_008078320_GLLO														
OG0013751		XP_008078325_GLLO														
OG0013752		XP_008078328_GLLO														
OG0013753		XP_008078329_GLLO														
OG0013754		XP_008078332_GLLO														
OG0013755		XP_008078333_GLLO														
OG0013756		XP_008078334_GLLO														
OG0013757		XP_008078335_GLLO														
OG0013758		XP_008078337_GLLO														
OG0013759		XP_008078343_GLLO														
OG0013760		XP_008078353_GLLO														
OG0013761		XP_008078369_GLLO														
OG0013762		XP_008078370_GLLO														
OG0013763		XP_008078374_GLLO														
OG0013764		XP_008078381_GLLO														
OG0013765		XP_008078382_GLLO														
OG0013766		XP_008078383_GLLO														
OG0013767		XP_008078384_GLLO														
OG0013768		XP_008078401_GLLO														
OG0013769		XP_008078437_GLLO														
OG0013770		XP_008078442_GLLO														
OG0013771		XP_008078464_GLLO														
OG0013772		XP_008078478_GLLO														
OG0013773		XP_008078516_GLLO														
OG0013774		XP_008078528_GLLO														
OG0013775		XP_008078530_GLLO														
OG0013776		XP_008078551_GLLO														
OG0013777		XP_008078568_GLLO														
OG0013778		XP_008078569_GLLO														
OG0013779		XP_008078570_GLLO														
OG0013780		XP_008078599_GLLO														
OG0013781		XP_008078604_GLLO														
OG0013782		XP_008078613_GLLO														
OG0013783		XP_008078615_GLLO														
OG0013784		XP_008078618_GLLO														
OG0013785		XP_008078621_GLLO														
OG0013786		XP_008078624_GLLO														
OG0013787		XP_008078626_GLLO														
OG0013788		XP_008078640_GLLO														
OG0013789		XP_008078642_GLLO														
OG0013790		XP_008078643_GLLO														
OG0013791		XP_008078644_GLLO														
OG0013792		XP_008078662_GLLO														
OG0013793		XP_008078689_GLLO														
OG0013794		XP_008078699_GLLO														
OG0013795		XP_008078700_GLLO														
OG0013796		XP_008078713_GLLO														
OG0013797		XP_008078719_GLLO														
OG0013798		XP_008078724_GLLO														
OG0013799		XP_008078726_GLLO														
OG0013800		XP_008078735_GLLO														
OG0013801		XP_008078749_GLLO														
OG0013802		XP_008078750_GLLO														
OG0013803		XP_008078751_GLLO														
OG0013804		XP_008078752_GLLO														
OG0013805		XP_008078754_GLLO														
OG0013806		XP_008078771_GLLO														
OG0013807		XP_008078772_GLLO														
OG0013808		XP_008078787_GLLO														
OG0013809		XP_008078791_GLLO														
OG0013810		XP_008078792_GLLO														
OG0013811		XP_008078797_GLLO														
OG0013812		XP_008078799_GLLO														
OG0013813		XP_008078821_GLLO														
OG0013814		XP_008078840_GLLO														
OG0013815		XP_008078842_GLLO														
OG0013816		XP_008078843_GLLO														
OG0013817		XP_008078859_GLLO														
OG0013818		XP_008078866_GLLO														
OG0013819		XP_008078867_GLLO														
OG0013820		XP_008078868_GLLO														
OG0013821		XP_008078869_GLLO														
OG0013822		XP_008078870_GLLO														
OG0013823		XP_008078884_GLLO														
OG0013824		XP_008078892_GLLO														
OG0013825		XP_008078910_GLLO														
OG0013826		XP_008078925_GLLO														
OG0013827		XP_008078942_GLLO														
OG0013828		XP_008078944_GLLO														
OG0013829		XP_008078955_GLLO														
OG0013830		XP_008078958_GLLO														
OG0013831		XP_008078959_GLLO														
OG0013832		XP_008078963_GLLO														
OG0013833		XP_008078964_GLLO														
OG0013834		XP_008078966_GLLO														
OG0013835		XP_008078969_GLLO														
OG0013836		XP_008078970_GLLO														
OG0013837		XP_008078971_GLLO														
OG0013838		XP_008078972_GLLO														
OG0013839		XP_008078974_GLLO														
OG0013840		XP_008078975_GLLO														
OG0013841		XP_008078977_GLLO														
OG0013842		XP_008078999_GLLO														
OG0013843		XP_008079017_GLLO														
OG0013844		XP_008079027_GLLO														
OG0013845		XP_008079058_GLLO														
OG0013846		XP_008079059_GLLO														
OG0013847		XP_008079060_GLLO														
OG0013848		XP_008079062_GLLO														
OG0013849		XP_008079074_GLLO														
OG0013850		XP_008079084_GLLO														
OG0013851		XP_008079091_GLLO														
OG0013852		XP_008079092_GLLO														
OG0013853		XP_008079097_GLLO														
OG0013854		XP_008079100_GLLO														
OG0013855		XP_008079103_GLLO														
OG0013856		XP_008079104_GLLO														
OG0013857		XP_008079106_GLLO														
OG0013858		XP_008079115_GLLO														
OG0013859		XP_008079116_GLLO														
OG0013860		XP_008079117_GLLO														
OG0013861		XP_008079118_GLLO														
OG0013862		XP_008079119_GLLO														
OG0013863		XP_008079120_GLLO														
OG0013864		XP_008079129_GLLO														
OG0013865		XP_008079130_GLLO														
OG0013866		XP_008079138_GLLO														
OG0013867		XP_008079140_GLLO														
OG0013868		XP_008079159_GLLO														
OG0013869		XP_008079160_GLLO														
OG0013870		XP_008079165_GLLO														
OG0013871		XP_008079187_GLLO														
OG0013872		XP_008079188_GLLO														
OG0013873		XP_008079205_GLLO														
OG0013874		XP_008079213_GLLO														
OG0013875		XP_008079226_GLLO														
OG0013876		XP_008079258_GLLO														
OG0013877		XP_008079275_GLLO														
OG0013878		XP_008079281_GLLO														
OG0013879		XP_008079295_GLLO														
OG0013880		XP_008079308_GLLO														
OG0013881		XP_008079315_GLLO														
OG0013882		XP_008079325_GLLO														
OG0013883		XP_008079326_GLLO														
OG0013884		XP_008079330_GLLO														
OG0013885		XP_008079337_GLLO														
OG0013886		XP_008079338_GLLO														
OG0013887		XP_008079346_GLLO														
OG0013888		XP_008079351_GLLO														
OG0013889		XP_008079367_GLLO														
OG0013890		XP_008079368_GLLO														
OG0013891		XP_008079369_GLLO														
OG0013892		XP_008079370_GLLO														
OG0013893		XP_008079371_GLLO														
OG0013894		XP_008079373_GLLO														
OG0013895		XP_008079374_GLLO														
OG0013896		XP_008079376_GLLO														
OG0013897		XP_008079377_GLLO														
OG0013898		XP_008079378_GLLO														
OG0013899		XP_008079379_GLLO														
OG0013900		XP_008079380_GLLO														
OG0013901		XP_008079381_GLLO														
OG0013902		XP_008079382_GLLO														
OG0013903		XP_008079383_GLLO														
OG0013904		XP_008079387_GLLO														
OG0013905		XP_008079395_GLLO														
OG0013906		XP_008079403_GLLO														
OG0013907		XP_008079407_GLLO														
OG0013908		XP_008079419_GLLO														
OG0013909		XP_008079423_GLLO														
OG0013910		XP_008079424_GLLO														
OG0013911		XP_008079425_GLLO														
OG0013912		XP_008079452_GLLO														
OG0013913		XP_008079453_GLLO														
OG0013914		XP_008079454_GLLO														
OG0013915		XP_008079456_GLLO														
OG0013916		XP_008079457_GLLO														
OG0013917		XP_008079458_GLLO														
OG0013918		XP_008079459_GLLO														
OG0013919		XP_008079463_GLLO														
OG0013920		XP_008079464_GLLO														
OG0013921		XP_008079473_GLLO														
OG0013922		XP_008079477_GLLO														
OG0013923		XP_008079484_GLLO														
OG0013924		XP_008079485_GLLO														
OG0013925		XP_008079488_GLLO														
OG0013926		XP_008079489_GLLO														
OG0013927		XP_008079496_GLLO														
OG0013928		XP_008079507_GLLO														
OG0013929		XP_008079508_GLLO														
OG0013930		XP_008079512_GLLO														
OG0013931		XP_008079517_GLLO														
OG0013932		XP_008079541_GLLO														
OG0013933		XP_008079563_GLLO														
OG0013934		XP_008079571_GLLO														
OG0013935		XP_008079572_GLLO														
OG0013936		XP_008079576_GLLO														
OG0013937		XP_008079588_GLLO														
OG0013938		XP_008079595_GLLO														
OG0013939		XP_008079598_GLLO														
OG0013940		XP_008079599_GLLO														
OG0013941		XP_008079603_GLLO														
OG0013942		XP_008079605_GLLO														
OG0013943		XP_008079609_GLLO														
OG0013944		XP_008079617_GLLO														
OG0013945		XP_008079643_GLLO														
OG0013946		XP_008079644_GLLO														
OG0013947		XP_008079651_GLLO														
OG0013948		XP_008079654_GLLO														
OG0013949		XP_008079658_GLLO														
OG0013950		XP_008079669_GLLO														
OG0013951		XP_008079676_GLLO														
OG0013952		XP_008079702_GLLO														
OG0013953		XP_008079708_GLLO														
OG0013954		XP_008079717_GLLO														
OG0013955		XP_008079719_GLLO														
OG0013956		XP_008079724_GLLO														
OG0013957		XP_008079725_GLLO														
OG0013958		XP_008079753_GLLO														
OG0013959		XP_008079763_GLLO														
OG0013960		XP_008079768_GLLO														
OG0013961		XP_008079769_GLLO														
OG0013962		XP_008079771_GLLO														
OG0013963		XP_008079772_GLLO														
OG0013964		XP_008079779_GLLO														
OG0013965		XP_008079780_GLLO														
OG0013966		XP_008079783_GLLO														
OG0013967		XP_008079814_GLLO														
OG0013968		XP_008079824_GLLO														
OG0013969		XP_008079825_GLLO														
OG0013970		XP_008079831_GLLO														
OG0013971		XP_008079832_GLLO														
OG0013972		XP_008079848_GLLO														
OG0013973		XP_008079857_GLLO														
OG0013974		XP_008079858_GLLO														
OG0013975		XP_008079876_GLLO														
OG0013976		XP_008079878_GLLO														
OG0013977		XP_008079879_GLLO														
OG0013978		XP_008079881_GLLO														
OG0013979		XP_008079882_GLLO														
OG0013980		XP_008079887_GLLO														
OG0013981		XP_008079909_GLLO														
OG0013982		XP_008079954_GLLO														
OG0013983		XP_008079971_GLLO														
OG0013984		XP_008079972_GLLO														
OG0013985		XP_008079988_GLLO														
OG0013986		XP_008079995_GLLO														
OG0013987		XP_008079996_GLLO														
OG0013988		XP_008080002_GLLO														
OG0013989		XP_008080007_GLLO														
OG0013990		XP_008080012_GLLO														
OG0013991		XP_008080015_GLLO														
OG0013992		XP_008080017_GLLO														
OG0013993		XP_008080018_GLLO														
OG0013994		XP_008080019_GLLO														
OG0013995		XP_008080020_GLLO														
OG0013996		XP_008080023_GLLO														
OG0013997		XP_008080036_GLLO														
OG0013998		XP_008080049_GLLO														
OG0013999		XP_008080088_GLLO														
OG0014000		XP_008080089_GLLO														
OG0014001		XP_008080100_GLLO														
OG0014002		XP_008080109_GLLO														
OG0014003		XP_008080112_GLLO														
OG0014004		XP_008080114_GLLO														
OG0014005		XP_008080123_GLLO														
OG0014006		XP_008080136_GLLO														
OG0014007		XP_008080138_GLLO														
OG0014008		XP_008080147_GLLO														
OG0014009		XP_008080149_GLLO														
OG0014010		XP_008080150_GLLO														
