contig	window_start	window_end	window_size	total_bases_mapped	read_depth
NODE_1001_length_27771_cov_29.788901	24000	25000	1000	205889	206
NODE_1001_length_27771_cov_29.788901	25000	26000	1000	226830	227
NODE_1001_length_27771_cov_29.788901	26000	27000	1000	234469	234
NODE_1001_length_27771_cov_29.788901	27000	27771	771	159782	207
NODE_1005_length_27703_cov_34.677733	0	1000	1000	159709	160
NODE_1005_length_27703_cov_34.677733	1000	2000	1000	210993	211
NODE_1005_length_27703_cov_34.677733	2000	3000	1000	208600	209
NODE_1005_length_27703_cov_34.677733	3000	4000	1000	217401	217
NODE_1005_length_27703_cov_34.677733	4000	5000	1000	214300	214
NODE_1005_length_27703_cov_34.677733	5000	6000	1000	206439	206
NODE_1005_length_27703_cov_34.677733	6000	7000	1000	201563	202
NODE_1005_length_27703_cov_34.677733	7000	8000	1000	200984	201
NODE_1005_length_27703_cov_34.677733	8000	9000	1000	181728	182
NODE_1005_length_27703_cov_34.677733	9000	10000	1000	208051	208
NODE_1005_length_27703_cov_34.677733	10000	11000	1000	218795	219
NODE_1005_length_27703_cov_34.677733	11000	12000	1000	205892	206
NODE_1005_length_27703_cov_34.677733	12000	13000	1000	205887	206
NODE_1005_length_27703_cov_34.677733	13000	14000	1000	213523	214
NODE_1005_length_27703_cov_34.677733	14000	15000	1000	208687	209
NODE_1005_length_27703_cov_34.677733	15000	16000	1000	227548	228
NODE_1005_length_27703_cov_34.677733	16000	17000	1000	217030	217
NODE_1005_length_27703_cov_34.677733	17000	18000	1000	224911	225
NODE_1005_length_27703_cov_34.677733	18000	19000	1000	224683	225
NODE_1005_length_27703_cov_34.677733	19000	20000	1000	206032	206
NODE_1005_length_27703_cov_34.677733	20000	21000	1000	202570	203
NODE_1005_length_27703_cov_34.677733	21000	22000	1000	217677	218
NODE_1005_length_27703_cov_34.677733	22000	23000	1000	220754	221
NODE_1005_length_27703_cov_34.677733	23000	24000	1000	227017	227
NODE_1005_length_27703_cov_34.677733	24000	25000	1000	233858	234
NODE_1005_length_27703_cov_34.677733	25000	26000	1000	216664	217
NODE_1005_length_27703_cov_34.677733	26000	27000	1000	224538	225
NODE_1005_length_27703_cov_34.677733	27000	27703	703	272065	387
NODE_1009_length_27515_cov_30.205882	0	1000	1000	214448	214
NODE_1009_length_27515_cov_30.205882	1000	2000	1000	204878	205
NODE_1009_length_27515_cov_30.205882	2000	3000	1000	209292	209
NODE_1009_length_27515_cov_30.205882	3000	4000	1000	216220	216
NODE_1009_length_27515_cov_30.205882	4000	5000	1000	226512	227
NODE_1009_length_27515_cov_30.205882	5000	6000	1000	216389	216
NODE_1009_length_27515_cov_30.205882	6000	7000	1000	214735	215
NODE_1009_length_27515_cov_30.205882	7000	8000	1000	209653	210
NODE_1009_length_27515_cov_30.205882	8000	9000	1000	223846	224
NODE_1009_length_27515_cov_30.205882	9000	10000	1000	212874	213
NODE_1009_length_27515_cov_30.205882	10000	11000	1000	211074	211
NODE_1009_length_27515_cov_30.205882	11000	12000	1000	209261	209
NODE_1009_length_27515_cov_30.205882	12000	13000	1000	209703	210
NODE_1009_length_27515_cov_30.205882	13000	14000	1000	229050	229
NODE_1009_length_27515_cov_30.205882	14000	15000	1000	221457	221
NODE_1009_length_27515_cov_30.205882	15000	16000	1000	223110	223
NODE_1009_length_27515_cov_30.205882	16000	17000	1000	202887	203
NODE_1009_length_27515_cov_30.205882	17000	18000	1000	209461	209
NODE_1009_length_27515_cov_30.205882	18000	19000	1000	213288	213
NODE_1009_length_27515_cov_30.205882	19000	20000	1000	199926	200
NODE_1009_length_27515_cov_30.205882	20000	21000	1000	207475	207
NODE_1009_length_27515_cov_30.205882	21000	22000	1000	195862	196
NODE_1009_length_27515_cov_30.205882	22000	23000	1000	198260	198
NODE_1009_length_27515_cov_30.205882	23000	24000	1000	201235	201
NODE_1009_length_27515_cov_30.205882	24000	25000	1000	199237	199
NODE_1009_length_27515_cov_30.205882	25000	26000	1000	198370	198
NODE_1009_length_27515_cov_30.205882	26000	27000	1000	219117	219
NODE_1009_length_27515_cov_30.205882	27000	27515	515	113187	220
NODE_1011_length_27486_cov_34.472475	0	1000	1000	211966	212
NODE_1011_length_27486_cov_34.472475	1000	2000	1000	218422	218
NODE_1011_length_27486_cov_34.472475	2000	3000	1000	217649	218
NODE_1011_length_27486_cov_34.472475	3000	4000	1000	221977	222
NODE_1011_length_27486_cov_34.472475	4000	5000	1000	220948	221
NODE_1011_length_27486_cov_34.472475	5000	6000	1000	215147	215
NODE_1011_length_27486_cov_34.472475	6000	7000	1000	214248	214
NODE_1011_length_27486_cov_34.472475	7000	8000	1000	208965	209
NODE_1011_length_27486_cov_34.472475	8000	9000	1000	195188	195
NODE_1011_length_27486_cov_34.472475	9000	10000	1000	214691	215
NODE_1011_length_27486_cov_34.472475	10000	11000	1000	219667	220
NODE_1011_length_27486_cov_34.472475	11000	12000	1000	230083	230
NODE_1011_length_27486_cov_34.472475	12000	13000	1000	220404	220
NODE_1011_length_27486_cov_34.472475	13000	14000	1000	219458	219
NODE_1011_length_27486_cov_34.472475	14000	15000	1000	212653	213
NODE_1011_length_27486_cov_34.472475	15000	16000	1000	193185	193
NODE_1011_length_27486_cov_34.472475	16000	17000	1000	197589	198
NODE_1011_length_27486_cov_34.472475	17000	18000	1000	193397	193
NODE_1011_length_27486_cov_34.472475	18000	19000	1000	198899	199
NODE_1011_length_27486_cov_34.472475	19000	20000	1000	222118	222
NODE_1011_length_27486_cov_34.472475	20000	21000	1000	221378	221
NODE_1011_length_27486_cov_34.472475	21000	22000	1000	220203	220
NODE_1011_length_27486_cov_34.472475	22000	23000	1000	195272	195
NODE_1011_length_27486_cov_34.472475	23000	24000	1000	200585	201
NODE_1011_length_27486_cov_34.472475	24000	25000	1000	216685	217
NODE_1011_length_27486_cov_34.472475	25000	26000	1000	236732	237
NODE_1011_length_27486_cov_34.472475	26000	27000	1000	385687	386
NODE_1011_length_27486_cov_34.472475	27000	27486	486	113330	233
NODE_101_length_148730_cov_29.730795	0	1000	1000	236598	237
NODE_101_length_148730_cov_29.730795	1000	2000	1000	202848	203
NODE_101_length_148730_cov_29.730795	2000	3000	1000	247205	247
NODE_101_length_148730_cov_29.730795	3000	4000	1000	210431	210
NODE_101_length_148730_cov_29.730795	4000	5000	1000	223225	223
NODE_101_length_148730_cov_29.730795	5000	6000	1000	204575	205
NODE_101_length_148730_cov_29.730795	6000	7000	1000	193342	193
NODE_101_length_148730_cov_29.730795	7000	8000	1000	227570	228
NODE_101_length_148730_cov_29.730795	8000	9000	1000	205475	205
NODE_101_length_148730_cov_29.730795	9000	10000	1000	207873	208
NODE_101_length_148730_cov_29.730795	10000	11000	1000	223537	224
NODE_101_length_148730_cov_29.730795	11000	12000	1000	216865	217
NODE_101_length_148730_cov_29.730795	12000	13000	1000	196254	196
NODE_101_length_148730_cov_29.730795	13000	14000	1000	209860	210
NODE_101_length_148730_cov_29.730795	14000	15000	1000	223418	223
NODE_101_length_148730_cov_29.730795	15000	16000	1000	218532	219
NODE_101_length_148730_cov_29.730795	16000	17000	1000	214548	215
NODE_101_length_148730_cov_29.730795	17000	18000	1000	203792	204
NODE_101_length_148730_cov_29.730795	18000	19000	1000	197178	197
NODE_101_length_148730_cov_29.730795	19000	20000	1000	217620	218
NODE_101_length_148730_cov_29.730795	20000	21000	1000	211692	212
NODE_101_length_148730_cov_29.730795	21000	22000	1000	203326	203
NODE_101_length_148730_cov_29.730795	22000	23000	1000	211790	212
NODE_101_length_148730_cov_29.730795	23000	24000	1000	203572	204
NODE_101_length_148730_cov_29.730795	24000	25000	1000	190979	191
NODE_101_length_148730_cov_29.730795	25000	26000	1000	218080	218
NODE_101_length_148730_cov_29.730795	26000	27000	1000	222469	222
NODE_101_length_148730_cov_29.730795	27000	28000	1000	211924	212
NODE_101_length_148730_cov_29.730795	28000	29000	1000	195139	195
NODE_101_length_148730_cov_29.730795	29000	30000	1000	181273	181
NODE_101_length_148730_cov_29.730795	30000	31000	1000	212802	213
NODE_101_length_148730_cov_29.730795	31000	32000	1000	226566	227
NODE_101_length_148730_cov_29.730795	32000	33000	1000	199333	199
NODE_101_length_148730_cov_29.730795	33000	34000	1000	204399	204
NODE_101_length_148730_cov_29.730795	34000	35000	1000	228442	228
NODE_101_length_148730_cov_29.730795	35000	36000	1000	232785	233
NODE_101_length_148730_cov_29.730795	36000	37000	1000	226161	226
NODE_101_length_148730_cov_29.730795	37000	38000	1000	212749	213
NODE_101_length_148730_cov_29.730795	38000	39000	1000	260262	260
NODE_101_length_148730_cov_29.730795	39000	40000	1000	220945	221
NODE_101_length_148730_cov_29.730795	40000	41000	1000	260901	261
NODE_101_length_148730_cov_29.730795	41000	42000	1000	218855	219
NODE_101_length_148730_cov_29.730795	42000	43000	1000	205698	206
NODE_101_length_148730_cov_29.730795	43000	44000	1000	209566	210
NODE_101_length_148730_cov_29.730795	44000	45000	1000	221739	222
NODE_101_length_148730_cov_29.730795	45000	46000	1000	200062	200
NODE_101_length_148730_cov_29.730795	46000	47000	1000	216831	217
NODE_101_length_148730_cov_29.730795	47000	48000	1000	212005	212
NODE_101_length_148730_cov_29.730795	48000	49000	1000	212009	212
NODE_101_length_148730_cov_29.730795	49000	50000	1000	222077	222
NODE_101_length_148730_cov_29.730795	50000	51000	1000	191939	192
NODE_101_length_148730_cov_29.730795	51000	52000	1000	206926	207
NODE_101_length_148730_cov_29.730795	52000	53000	1000	226931	227
NODE_101_length_148730_cov_29.730795	53000	54000	1000	203303	203
NODE_101_length_148730_cov_29.730795	54000	55000	1000	200505	201
NODE_101_length_148730_cov_29.730795	55000	56000	1000	206657	207
NODE_101_length_148730_cov_29.730795	56000	57000	1000	214686	215
NODE_101_length_148730_cov_29.730795	57000	58000	1000	207458	207
NODE_101_length_148730_cov_29.730795	58000	59000	1000	210391	210
NODE_101_length_148730_cov_29.730795	59000	60000	1000	206356	206
NODE_101_length_148730_cov_29.730795	60000	61000	1000	184785	185
NODE_101_length_148730_cov_29.730795	61000	62000	1000	210821	211
NODE_101_length_148730_cov_29.730795	62000	63000	1000	189495	189
NODE_101_length_148730_cov_29.730795	63000	64000	1000	205070	205
NODE_101_length_148730_cov_29.730795	64000	65000	1000	202132	202
NODE_101_length_148730_cov_29.730795	65000	66000	1000	192931	193
NODE_101_length_148730_cov_29.730795	66000	67000	1000	196212	196
NODE_101_length_148730_cov_29.730795	67000	68000	1000	191997	192
NODE_101_length_148730_cov_29.730795	68000	69000	1000	207804	208
NODE_101_length_148730_cov_29.730795	69000	70000	1000	230994	231
NODE_101_length_148730_cov_29.730795	70000	71000	1000	216525	217
NODE_101_length_148730_cov_29.730795	71000	72000	1000	208232	208
NODE_101_length_148730_cov_29.730795	72000	73000	1000	209668	210
NODE_101_length_148730_cov_29.730795	73000	74000	1000	214416	214
NODE_101_length_148730_cov_29.730795	74000	75000	1000	202822	203
NODE_101_length_148730_cov_29.730795	75000	76000	1000	213064	213
NODE_101_length_148730_cov_29.730795	76000	77000	1000	222103	222
NODE_101_length_148730_cov_29.730795	77000	78000	1000	217935	218
NODE_101_length_148730_cov_29.730795	78000	79000	1000	207651	208
NODE_101_length_148730_cov_29.730795	79000	80000	1000	222181	222
NODE_101_length_148730_cov_29.730795	80000	81000	1000	194872	195
NODE_101_length_148730_cov_29.730795	81000	82000	1000	216291	216
NODE_101_length_148730_cov_29.730795	82000	83000	1000	207682	208
NODE_101_length_148730_cov_29.730795	83000	84000	1000	213294	213
NODE_101_length_148730_cov_29.730795	84000	85000	1000	194216	194
NODE_101_length_148730_cov_29.730795	85000	86000	1000	174061	174
NODE_101_length_148730_cov_29.730795	86000	87000	1000	218012	218
NODE_101_length_148730_cov_29.730795	87000	88000	1000	228294	228
NODE_101_length_148730_cov_29.730795	88000	89000	1000	215367	215
NODE_101_length_148730_cov_29.730795	89000	90000	1000	211643	212
NODE_101_length_148730_cov_29.730795	90000	91000	1000	237021	237
NODE_101_length_148730_cov_29.730795	91000	92000	1000	201545	202
NODE_101_length_148730_cov_29.730795	92000	93000	1000	212072	212
NODE_101_length_148730_cov_29.730795	93000	94000	1000	195563	196
NODE_101_length_148730_cov_29.730795	94000	95000	1000	203442	203
NODE_101_length_148730_cov_29.730795	95000	96000	1000	215951	216
NODE_101_length_148730_cov_29.730795	96000	97000	1000	214328	214
NODE_101_length_148730_cov_29.730795	97000	98000	1000	183814	184
NODE_101_length_148730_cov_29.730795	98000	99000	1000	190902	191
NODE_101_length_148730_cov_29.730795	99000	100000	1000	202351	202
NODE_101_length_148730_cov_29.730795	100000	101000	1000	198463	198
NODE_101_length_148730_cov_29.730795	101000	102000	1000	189829	190
NODE_101_length_148730_cov_29.730795	102000	103000	1000	202846	203
NODE_101_length_148730_cov_29.730795	103000	104000	1000	190629	191
NODE_101_length_148730_cov_29.730795	104000	105000	1000	188921	189
NODE_101_length_148730_cov_29.730795	105000	106000	1000	211335	211
NODE_101_length_148730_cov_29.730795	106000	107000	1000	234628	235
NODE_101_length_148730_cov_29.730795	107000	108000	1000	202802	203
NODE_101_length_148730_cov_29.730795	108000	109000	1000	203620	204
NODE_101_length_148730_cov_29.730795	109000	110000	1000	210691	211
NODE_101_length_148730_cov_29.730795	110000	111000	1000	222968	223
NODE_101_length_148730_cov_29.730795	111000	112000	1000	213912	214
NODE_101_length_148730_cov_29.730795	112000	113000	1000	217209	217
NODE_101_length_148730_cov_29.730795	113000	114000	1000	206901	207
NODE_101_length_148730_cov_29.730795	114000	115000	1000	194276	194
NODE_101_length_148730_cov_29.730795	115000	116000	1000	197670	198
NODE_101_length_148730_cov_29.730795	116000	117000	1000	207104	207
NODE_101_length_148730_cov_29.730795	117000	118000	1000	215852	216
NODE_101_length_148730_cov_29.730795	118000	119000	1000	220962	221
NODE_101_length_148730_cov_29.730795	119000	120000	1000	220852	221
NODE_101_length_148730_cov_29.730795	120000	121000	1000	216010	216
NODE_101_length_148730_cov_29.730795	121000	122000	1000	231799	232
NODE_101_length_148730_cov_29.730795	122000	123000	1000	222514	223
NODE_101_length_148730_cov_29.730795	123000	124000	1000	212247	212
NODE_101_length_148730_cov_29.730795	124000	125000	1000	234758	235
NODE_101_length_148730_cov_29.730795	125000	126000	1000	220950	221
NODE_101_length_148730_cov_29.730795	126000	127000	1000	206332	206
NODE_101_length_148730_cov_29.730795	127000	128000	1000	213244	213
NODE_101_length_148730_cov_29.730795	128000	129000	1000	196933	197
NODE_101_length_148730_cov_29.730795	129000	130000	1000	194973	195
NODE_101_length_148730_cov_29.730795	130000	131000	1000	190845	191
NODE_101_length_148730_cov_29.730795	131000	132000	1000	214438	214
NODE_101_length_148730_cov_29.730795	132000	133000	1000	244169	244
NODE_101_length_148730_cov_29.730795	133000	134000	1000	216822	217
NODE_101_length_148730_cov_29.730795	134000	135000	1000	212136	212
NODE_101_length_148730_cov_29.730795	135000	136000	1000	231804	232
NODE_101_length_148730_cov_29.730795	136000	137000	1000	225198	225
NODE_101_length_148730_cov_29.730795	137000	138000	1000	214892	215
NODE_101_length_148730_cov_29.730795	138000	139000	1000	217030	217
NODE_101_length_148730_cov_29.730795	139000	140000	1000	211286	211
NODE_101_length_148730_cov_29.730795	140000	141000	1000	195379	195
NODE_101_length_148730_cov_29.730795	141000	142000	1000	190836	191
NODE_101_length_148730_cov_29.730795	142000	143000	1000	185130	185
NODE_101_length_148730_cov_29.730795	143000	144000	1000	174498	174
NODE_101_length_148730_cov_29.730795	144000	145000	1000	222240	222
NODE_101_length_148730_cov_29.730795	145000	146000	1000	216773	217
NODE_101_length_148730_cov_29.730795	146000	147000	1000	195850	196
NODE_101_length_148730_cov_29.730795	147000	148000	1000	187656	188
NODE_101_length_148730_cov_29.730795	148000	148730	730	141334	194
NODE_1030_length_26970_cov_36.415205	0	1000	1000	194100	194
NODE_1030_length_26970_cov_36.415205	1000	2000	1000	206991	207
NODE_1030_length_26970_cov_36.415205	2000	3000	1000	197763	198
NODE_1030_length_26970_cov_36.415205	3000	4000	1000	188878	189
NODE_1030_length_26970_cov_36.415205	4000	5000	1000	204081	204
NODE_1030_length_26970_cov_36.415205	5000	6000	1000	206642	207
NODE_1030_length_26970_cov_36.415205	6000	7000	1000	205719	206
NODE_1030_length_26970_cov_36.415205	7000	8000	1000	191067	191
NODE_1030_length_26970_cov_36.415205	8000	9000	1000	208345	208
NODE_1030_length_26970_cov_36.415205	9000	10000	1000	219319	219
NODE_1030_length_26970_cov_36.415205	10000	11000	1000	207035	207
NODE_1030_length_26970_cov_36.415205	11000	12000	1000	213414	213
NODE_1030_length_26970_cov_36.415205	12000	13000	1000	225767	226
NODE_1030_length_26970_cov_36.415205	13000	14000	1000	229564	230
NODE_1030_length_26970_cov_36.415205	14000	15000	1000	222703	223
NODE_1030_length_26970_cov_36.415205	15000	16000	1000	219669	220
NODE_1030_length_26970_cov_36.415205	16000	17000	1000	222255	222
NODE_1030_length_26970_cov_36.415205	17000	18000	1000	227215	227
NODE_1030_length_26970_cov_36.415205	18000	19000	1000	204458	204
NODE_1030_length_26970_cov_36.415205	19000	20000	1000	214061	214
NODE_1030_length_26970_cov_36.415205	20000	21000	1000	250445	250
NODE_1030_length_26970_cov_36.415205	21000	22000	1000	202639	203
NODE_1030_length_26970_cov_36.415205	22000	23000	1000	292531	293
NODE_1030_length_26970_cov_36.415205	23000	24000	1000	501637	502
NODE_1030_length_26970_cov_36.415205	24000	25000	1000	530449	530
NODE_1030_length_26970_cov_36.415205	25000	26000	1000	479153	479
NODE_1030_length_26970_cov_36.415205	26000	26970	970	367528	379
NODE_1031_length_26952_cov_29.350695	0	1000	1000	254588	255
NODE_1031_length_26952_cov_29.350695	1000	2000	1000	490725	491
NODE_1031_length_26952_cov_29.350695	2000	3000	1000	441978	442
NODE_1031_length_26952_cov_29.350695	3000	4000	1000	352552	353
NODE_1031_length_26952_cov_29.350695	4000	5000	1000	218094	218
NODE_1031_length_26952_cov_29.350695	5000	6000	1000	219804	220
NODE_1031_length_26952_cov_29.350695	6000	7000	1000	194507	195
NODE_1031_length_26952_cov_29.350695	7000	8000	1000	191229	191
NODE_1031_length_26952_cov_29.350695	8000	9000	1000	212243	212
NODE_1031_length_26952_cov_29.350695	9000	10000	1000	218065	218
NODE_1031_length_26952_cov_29.350695	10000	11000	1000	213602	214
NODE_1031_length_26952_cov_29.350695	11000	12000	1000	215813	216
NODE_1031_length_26952_cov_29.350695	12000	13000	1000	219694	220
NODE_1031_length_26952_cov_29.350695	13000	14000	1000	191364	191
NODE_1031_length_26952_cov_29.350695	14000	15000	1000	198071	198
NODE_1031_length_26952_cov_29.350695	15000	16000	1000	204650	205
NODE_1031_length_26952_cov_29.350695	16000	17000	1000	212413	212
NODE_1031_length_26952_cov_29.350695	17000	18000	1000	187846	188
NODE_1031_length_26952_cov_29.350695	18000	19000	1000	212215	212
NODE_1031_length_26952_cov_29.350695	19000	20000	1000	204043	204
NODE_1031_length_26952_cov_29.350695	20000	21000	1000	203847	204
NODE_1031_length_26952_cov_29.350695	21000	22000	1000	217984	218
NODE_1031_length_26952_cov_29.350695	22000	23000	1000	218042	218
NODE_1031_length_26952_cov_29.350695	23000	24000	1000	192185	192
NODE_1031_length_26952_cov_29.350695	24000	25000	1000	201255	201
NODE_1031_length_26952_cov_29.350695	25000	26000	1000	199774	200
NODE_1031_length_26952_cov_29.350695	26000	26952	952	311075	327
NODE_1034_length_26922_cov_30.827011	0	1000	1000	196434	196
NODE_1034_length_26922_cov_30.827011	1000	2000	1000	222387	222
NODE_1034_length_26922_cov_30.827011	2000	3000	1000	219724	220
NODE_1034_length_26922_cov_30.827011	3000	4000	1000	193278	193
NODE_1034_length_26922_cov_30.827011	4000	5000	1000	214136	214
NODE_1034_length_26922_cov_30.827011	5000	6000	1000	203836	204
NODE_1034_length_26922_cov_30.827011	6000	7000	1000	217524	218
NODE_1034_length_26922_cov_30.827011	7000	8000	1000	222286	222
NODE_1034_length_26922_cov_30.827011	8000	9000	1000	181369	181
NODE_1034_length_26922_cov_30.827011	9000	10000	1000	221404	221
NODE_1034_length_26922_cov_30.827011	10000	11000	1000	214689	215
NODE_1034_length_26922_cov_30.827011	11000	12000	1000	199582	200
NODE_1034_length_26922_cov_30.827011	12000	13000	1000	224091	224
NODE_1034_length_26922_cov_30.827011	13000	14000	1000	220200	220
NODE_1034_length_26922_cov_30.827011	14000	15000	1000	218933	219
NODE_1034_length_26922_cov_30.827011	15000	16000	1000	212885	213
NODE_1034_length_26922_cov_30.827011	16000	17000	1000	191062	191
NODE_1034_length_26922_cov_30.827011	17000	18000	1000	202501	203
NODE_1034_length_26922_cov_30.827011	18000	19000	1000	217570	218
NODE_1034_length_26922_cov_30.827011	19000	20000	1000	219018	219
NODE_1034_length_26922_cov_30.827011	20000	21000	1000	193038	193
NODE_1034_length_26922_cov_30.827011	21000	22000	1000	201974	202
NODE_1034_length_26922_cov_30.827011	22000	23000	1000	537828	538
NODE_1034_length_26922_cov_30.827011	23000	24000	1000	254964	255
NODE_1034_length_26922_cov_30.827011	24000	25000	1000	265574	266
NODE_1034_length_26922_cov_30.827011	25000	26000	1000	222806	223
NODE_1034_length_26922_cov_30.827011	26000	26922	922	210417	228
NODE_1036_length_26869_cov_29.643882	0	1000	1000	209607	210
NODE_1036_length_26869_cov_29.643882	1000	2000	1000	204822	205
NODE_1036_length_26869_cov_29.643882	2000	3000	1000	206596	207
NODE_1036_length_26869_cov_29.643882	3000	4000	1000	190367	190
NODE_1036_length_26869_cov_29.643882	4000	5000	1000	199091	199
NODE_1036_length_26869_cov_29.643882	5000	6000	1000	199044	199
NODE_1036_length_26869_cov_29.643882	6000	7000	1000	204377	204
NODE_1036_length_26869_cov_29.643882	7000	8000	1000	218980	219
NODE_1036_length_26869_cov_29.643882	8000	9000	1000	223766	224
NODE_1036_length_26869_cov_29.643882	9000	10000	1000	218288	218
NODE_1036_length_26869_cov_29.643882	10000	11000	1000	194898	195
NODE_1036_length_26869_cov_29.643882	11000	12000	1000	214083	214
NODE_1036_length_26869_cov_29.643882	12000	13000	1000	218919	219
NODE_1036_length_26869_cov_29.643882	13000	14000	1000	204085	204
NODE_1036_length_26869_cov_29.643882	14000	15000	1000	211413	211
NODE_1036_length_26869_cov_29.643882	15000	16000	1000	221413	221
NODE_1036_length_26869_cov_29.643882	16000	17000	1000	232971	233
NODE_1036_length_26869_cov_29.643882	17000	18000	1000	227121	227
NODE_1036_length_26869_cov_29.643882	18000	19000	1000	219943	220
NODE_1036_length_26869_cov_29.643882	19000	20000	1000	204421	204
NODE_1036_length_26869_cov_29.643882	20000	21000	1000	197336	197
NODE_1036_length_26869_cov_29.643882	21000	22000	1000	212156	212
NODE_1036_length_26869_cov_29.643882	22000	23000	1000	209397	209
NODE_1036_length_26869_cov_29.643882	23000	24000	1000	211283	211
NODE_1036_length_26869_cov_29.643882	24000	25000	1000	213423	213
NODE_1036_length_26869_cov_29.643882	25000	26000	1000	204851	205
NODE_1036_length_26869_cov_29.643882	26000	26869	869	182138	210
NODE_103_length_145775_cov_30.187555	0	1000	1000	216764	217
NODE_103_length_145775_cov_30.187555	1000	2000	1000	217340	217
NODE_103_length_145775_cov_30.187555	2000	3000	1000	194330	194
NODE_103_length_145775_cov_30.187555	3000	4000	1000	207432	207
NODE_103_length_145775_cov_30.187555	4000	5000	1000	207218	207
NODE_103_length_145775_cov_30.187555	5000	6000	1000	226242	226
NODE_103_length_145775_cov_30.187555	6000	7000	1000	222438	222
NODE_103_length_145775_cov_30.187555	7000	8000	1000	228515	229
NODE_103_length_145775_cov_30.187555	8000	9000	1000	199273	199
NODE_103_length_145775_cov_30.187555	9000	10000	1000	221268	221
NODE_103_length_145775_cov_30.187555	10000	11000	1000	223479	223
NODE_103_length_145775_cov_30.187555	11000	12000	1000	220761	221
NODE_103_length_145775_cov_30.187555	12000	13000	1000	240032	240
NODE_103_length_145775_cov_30.187555	13000	14000	1000	261395	261
NODE_103_length_145775_cov_30.187555	14000	15000	1000	232972	233
NODE_103_length_145775_cov_30.187555	15000	16000	1000	206977	207
NODE_103_length_145775_cov_30.187555	16000	17000	1000	206363	206
NODE_103_length_145775_cov_30.187555	17000	18000	1000	220538	221
