Contig Num_Genes Num_Blastp_hits 1st_Frq_hit 2nd_Frq_hit 1st_Frq_count 2nd_Frq_count 1st_Frq_% 2nd_Frq_%
NODE_1156_length_24751_cov_42.387581 3 2 Phialocephala Marssonina 1 1 .33333333333333333333 .33333333333333333333
NODE_1157_length_24748_cov_37.515120 8 8 Phialocephala Glarea 4 2 .50000000000000000000 .25000000000000000000
NODE_1158_length_24740_cov_31.712250 6 6 Phialocephala Cyphellophora 1 1 .16666666666666666666 .16666666666666666666
NODE_1161_length_24683_cov_30.745605 7 7 Phialocephala Marssonina 4 1 .57142857142857142857 .14285714285714285714
NODE_116_length_132366_cov_29.217761 20 20 Phialocephala Sclerotinia 9 3 .45000000000000000000 .15000000000000000000
NODE_1174_length_24485_cov_29.226840 3 3 Phialocephala Glarea 1 1 .33333333333333333333 .33333333333333333333
NODE_117_length_131846_cov_30.832262 27 27 Phialocephala Marssonina 16 4 .59259259259259259259 .14814814814814814814
NODE_1183_length_24263_cov_29.638415 6 6 Phialocephala Marssonina 3 2 .50000000000000000000 .33333333333333333333
NODE_1189_length_24238_cov_29.408837 1 1 Marssonina Marssonina 1 1 1.00000000000000000000 1.00000000000000000000
NODE_118_length_131548_cov_30.496671 42 42 Phialocephala Marssonina 21 11 .50000000000000000000 .26190476190476190476
NODE_1191_length_24230_cov_24.976948 2 2 Rhinocladiella Phialocephala 1 1 .50000000000000000000 .50000000000000000000
NODE_1196_length_24202_cov_28.953385 2 2 Marssonina Marssonina 2 2 1.00000000000000000000 1.00000000000000000000
NODE_11988_length_3423_cov_61.924819 1 1 Glarea Glarea 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1198_length_24146_cov_37.871562 7 6 Glarea Phialocephala 3 2 .42857142857142857142 .28571428571428571428
NODE_1199_length_24143_cov_30.176931 6 5 Phialocephala Marssonina 2 2 .33333333333333333333 .33333333333333333333
NODE_11_length_615337_cov_33.685210 160 160 Coniosporium Xylona 13 8 .08125000000000000000 .05000000000000000000
NODE_1205_length_24031_cov_30.161288 5 5 Phialocephala Xylona 3 1 .60000000000000000000 .20000000000000000000
NODE_12089_length_3398_cov_29.905081 3 2 Talaromyces Pochonia 1 1 .33333333333333333333 .33333333333333333333
NODE_1209_length_23949_cov_31.515647 4 4 Phialocephala Marssonina 2 1 .50000000000000000000 .25000000000000000000
NODE_1213_length_23890_cov_29.626435 1 1 Glarea Glarea 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1218_length_23853_cov_29.229046 3 3 Phialocephala Baudoinia 2 1 .66666666666666666666 .33333333333333333333
NODE_121_length_129391_cov_30.135450 32 30 Phialocephala Marssonina 17 5 .53125000000000000000 .15625000000000000000
NODE_1226_length_23791_cov_29.001985 2 2 Phialocephala Marssonina 1 1 .50000000000000000000 .50000000000000000000
NODE_122_length_129178_cov_31.563606 24 23 Phialocephala Marssonina 15 3 .62500000000000000000 .12500000000000000000
NODE_1236_length_23614_cov_33.943199 2 2 Coprinopsis Aspergillus 1 1 .50000000000000000000 .50000000000000000000
NODE_123_length_128291_cov_35.628546 27 27 Xylona Zymoseptoria 5 2 .18518518518518518518 .07407407407407407407
NODE_124_length_126660_cov_33.088487 24 23 Xylona Podospora 2 2 .08333333333333333333 .08333333333333333333
NODE_1252_length_23434_cov_32.819577 5 5 Phialocephala Glarea 2 2 .40000000000000000000 .40000000000000000000
NODE_12590_length_3283_cov_56.904792 1 1 Pestalotiopsis Pestalotiopsis 1 1 1.00000000000000000000 1.00000000000000000000
NODE_125_length_126197_cov_33.125248 23 23 Xylona Sclerotinia 2 2 .08695652173913043478 .08695652173913043478
NODE_1260_length_23336_cov_33.628934 7 7 Phialocephala Talaromyces 3 1 .42857142857142857142 .14285714285714285714
NODE_127_length_124384_cov_33.711410 28 28 Phialocephala Aureobasidium 3 3 .10714285714285714285 .10714285714285714285
NODE_128250_length_606_cov_59.577778 1 1 Pyrenophora Pyrenophora 1 1 1.00000000000000000000 1.00000000000000000000
NODE_128_length_123415_cov_30.504315 22 22 Phialocephala Glarea 14 3 .63636363636363636363 .13636363636363636363
NODE_12905_length_3204_cov_22.310378 2 1 N/A Botryotinia 1 1 .50000000000000000000 .50000000000000000000
NODE_1291_length_22833_cov_29.531423 2 2 Sclerotinia Fusarium 1 1 .50000000000000000000 .50000000000000000000
NODE_1292_length_22830_cov_74.675690 1 0 N/A  1  1.00000000000000000000 
NODE_1295_length_22812_cov_29.950663 7 7 Phialocephala Glarea 4 2 .57142857142857142857 .28571428571428571428
NODE_1296_length_22810_cov_30.972069 8 8 Phialocephala Marssonina 2 2 .25000000000000000000 .25000000000000000000
NODE_12_length_604578_cov_34.853259 167 164 Coniosporium Diplodia 15 11 .08982035928143712574 .06586826347305389221
NODE_1301_length_22757_cov_29.329727 4 4 Phialocephala Ochroconis 1 1 .25000000000000000000 .25000000000000000000
NODE_1304_length_22725_cov_28.863580 4 4 Phialocephala Sclerotinia 2 1 .50000000000000000000 .25000000000000000000
NODE_130_length_121517_cov_29.901496 27 27 Phialocephala Marssonina 11 6 .40740740740740740740 .22222222222222222222
NODE_1316_length_22619_cov_33.559401 5 5 Phialocephala Xylona 3 1 .60000000000000000000 .20000000000000000000
NODE_1319_length_22569_cov_29.855107 4 4 Phialocephala Marssonina 2 1 .50000000000000000000 .25000000000000000000
NODE_131_length_121074_cov_29.847970 20 20 Phialocephala Marssonina 10 5 .50000000000000000000 .25000000000000000000
NODE_1322_length_22514_cov_43.328929 8 8 Zasmidium Zymoseptoria 4 2 .50000000000000000000 .25000000000000000000
NODE_1324_length_22497_cov_32.255606 3 3 Phialocephala Metarhizium 1 1 .33333333333333333333 .33333333333333333333
NODE_1333_length_22377_cov_30.395042 4 4 Phialocephala Phialocephala 4 4 1.00000000000000000000 1.00000000000000000000
NODE_1334_length_22377_cov_30.143807 4 4 Phialocephala Pestalotiopsis 3 1 .75000000000000000000 .25000000000000000000
NODE_1337_length_22349_cov_29.637153 8 7 Phialocephala Glarea 3 2 .37500000000000000000 .25000000000000000000
NODE_13391_length_3105_cov_104.456246 1 1 Ajellomyces Ajellomyces 1 1 1.00000000000000000000 1.00000000000000000000
NODE_133_length_119589_cov_30.456477 34 32 Phialocephala Marssonina 16 7 .47058823529411764705 .20588235294117647058
NODE_1341_length_22272_cov_30.464149 5 5 Phialocephala Pseudogymnoascus 3 1 .60000000000000000000 .20000000000000000000
NODE_1348_length_22204_cov_29.698321 3 3 Sclerotinia Phialocephala 1 1 .33333333333333333333 .33333333333333333333
NODE_134_length_118515_cov_30.999882 43 41 Phialocephala Marssonina 20 12 .46511627906976744186 .27906976744186046511
NODE_135_length_117788_cov_30.982435 33 32 Phialocephala Marssonina 18 8 .54545454545454545454 .24242424242424242424
NODE_1360_length_22051_cov_33.429809 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_13623_length_3064_cov_120.927193 1 1 Neurospora Neurospora 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1362_length_22030_cov_29.070989 1 1 Xylona Xylona 1 1 1.00000000000000000000 1.00000000000000000000
NODE_13634_length_3061_cov_33.410169 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1368_length_21943_cov_35.747252 3 3 Phialocephala Marssonina 2 1 .66666666666666666666 .33333333333333333333
NODE_136_length_116662_cov_33.147952 25 25 Xylona Phialocephala 4 4 .16000000000000000000 .16000000000000000000
NODE_1379_length_21833_cov_35.608415 6 6 Setosphaeria Pyrenophora 1 1 .16666666666666666666 .16666666666666666666
NODE_137_length_116437_cov_29.765495 15 14 Phialocephala Sclerotinia 6 3 .40000000000000000000 .20000000000000000000
NODE_138_length_116257_cov_30.737899 26 25 Phialocephala Marssonina 14 5 .53846153846153846153 .19230769230769230769
NODE_139_length_115903_cov_29.686420 25 23 Phialocephala Marssonina 11 7 .44000000000000000000 .28000000000000000000
NODE_13_length_599483_cov_33.883927 125 124 Xylona Diplodia 8 6 .06400000000000000000 .04800000000000000000
NODE_1400_length_21627_cov_29.284439 4 4 Glarea Sclerotinia 2 1 .50000000000000000000 .25000000000000000000
NODE_1412_length_21441_cov_29.803188 6 6 Phialocephala Sclerotinia 3 1 .50000000000000000000 .16666666666666666666
NODE_1416_length_21343_cov_27.255134 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1418_length_21324_cov_39.810588 3 3 Phialocephala Botryotinia 2 1 .66666666666666666666 .33333333333333333333
NODE_141_length_114562_cov_33.380049 26 26 Phialocephala Glarea 13 5 .50000000000000000000 .19230769230769230769
NODE_1423_length_21230_cov_31.154695 2 2 Phialocephala Ochroconis 1 1 .50000000000000000000 .50000000000000000000
NODE_1426_length_21187_cov_30.350549 4 4 Marssonina Phialocephala 3 1 .75000000000000000000 .25000000000000000000
NODE_1428_length_21163_cov_30.758218 3 3 Phialocephala Botryotinia 1 1 .33333333333333333333 .33333333333333333333
NODE_142_length_111150_cov_32.732707 23 23 Coniosporium Phialocephala 3 2 .13043478260869565217 .08695652173913043478
NODE_1434_length_21052_cov_30.638174 2 1 Sclerotinia Sclerotinia 1 1 .50000000000000000000 .50000000000000000000
NODE_1435_length_21028_cov_31.301047 5 5 Phialocephala Glarea 2 2 .40000000000000000000 .40000000000000000000
NODE_143_length_111014_cov_29.765128 29 29 Phialocephala Marssonina 19 5 .65517241379310344827 .17241379310344827586
NODE_1440_length_20944_cov_29.216003 8 8 Phialocephala Marssonina 6 1 .75000000000000000000 .12500000000000000000
NODE_1443_length_20911_cov_30.183077 4 2 Phialocephala Phialocephala 2 2 .50000000000000000000 .50000000000000000000
NODE_144_length_110474_cov_31.373821 29 29 Phialocephala Marssonina 16 4 .55172413793103448275 .13793103448275862068
NODE_1459_length_20677_cov_28.873189 2 2 Sclerotinia Phialocephala 1 1 .50000000000000000000 .50000000000000000000
NODE_145_length_110275_cov_29.401120 25 22 Phialocephala Glarea 11 6 .44000000000000000000 .24000000000000000000
NODE_1463_length_20602_cov_26.606217 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1466_length_20570_cov_94.786304 1 1 Xylona Xylona 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1469_length_20510_cov_32.807932 3 3 Marssonina Phialocephala 2 1 .66666666666666666666 .33333333333333333333
NODE_147_length_109332_cov_31.295465 20 18 Phialocephala Marssonina 9 4 .45000000000000000000 .20000000000000000000
NODE_148_length_109249_cov_30.364603 23 23 Phialocephala Marssonina 15 3 .65217391304347826086 .13043478260869565217
NODE_1491_length_20298_cov_29.568039 5 5 Phialocephala Botryotinia 4 1 .80000000000000000000 .20000000000000000000
NODE_1493_length_20278_cov_30.253731 6 6 Phialocephala Marssonina 3 2 .50000000000000000000 .33333333333333333333
NODE_1494_length_20277_cov_34.767381 1 1 Marssonina Marssonina 1 1 1.00000000000000000000 1.00000000000000000000
NODE_149_length_107346_cov_29.625150 25 25 Phialocephala Marssonina 14 3 .56000000000000000000 .12000000000000000000
NODE_14_length_545942_cov_34.082016 106 106 Xylona Diplodia 13 5 .12264150943396226415 .04716981132075471698
NODE_1503_length_20154_cov_29.928703 6 6 Phialocephala Sclerotinia 3 1 .50000000000000000000 .16666666666666666666
NODE_150_length_106947_cov_31.956953 27 27 Phialocephala Marssonina 15 8 .55555555555555555555 .29629629629629629629
NODE_1511_length_20094_cov_27.472001 3 3 Phialocephala Glarea 2 1 .66666666666666666666 .33333333333333333333
NODE_151_length_106677_cov_31.712526 27 26 Phialocephala Marssonina 14 9 .51851851851851851851 .33333333333333333333
NODE_1521_length_19976_cov_32.335213 2 2 Phialocephala Glarea 1 1 .50000000000000000000 .50000000000000000000
NODE_1522_length_19969_cov_29.579212 4 4 Marssonina Xylona 2 1 .50000000000000000000 .25000000000000000000
NODE_1528_length_19934_cov_30.198507 4 4 Botryotinia Sclerotinia 2 1 .50000000000000000000 .25000000000000000000
NODE_152_length_106589_cov_30.080364 19 17 Phialocephala Marssonina 7 5 .36842105263157894736 .26315789473684210526
NODE_1531_length_19922_cov_31.041694 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_15344_length_2764_cov_28.747833 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_153_length_105556_cov_30.411646 35 33 Phialocephala Marssonina 15 10 .42857142857142857142 .28571428571428571428
NODE_1546_length_19724_cov_31.624382 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1552_length_19663_cov_789.454583 4 4 Sclerotinia Moniliophthora 2 2 .50000000000000000000 .50000000000000000000
NODE_155_length_104784_cov_33.785398 23 22 Pestalotiopsis Diplodia 3 2 .13043478260869565217 .08695652173913043478
NODE_15638_length_2719_cov_63.219325 2 2 Aspergillus Ajellomyces 1 1 .50000000000000000000 .50000000000000000000
NODE_1563_length_19550_cov_36.996399 2 2 Purpureocillium Phialocephala 1 1 .50000000000000000000 .50000000000000000000
NODE_156_length_104586_cov_33.956267 22 21 Xylona Endocarpon 3 3 .13636363636363636363 .13636363636363636363
NODE_1574_length_19377_cov_30.030520 6 6 Phialocephala Marssonina 3 3 .50000000000000000000 .50000000000000000000
NODE_1579_length_19347_cov_29.892181 7 7 Phialocephala Marssonina 3 2 .42857142857142857142 .28571428571428571428
NODE_157_length_104396_cov_35.809100 19 19 Xylona Pseudogymnoascus 2 2 .10526315789473684210 .10526315789473684210
NODE_1580_length_19343_cov_31.199927 4 4 Phialocephala Marssonina 2 2 .50000000000000000000 .50000000000000000000
NODE_158_length_103591_cov_29.564824 28 28 Phialocephala Marssonina 17 5 .60714285714285714285 .17857142857142857142
NODE_15964_length_2672_cov_297.482624 1 1 Epichloe Epichloe 1 1 1.00000000000000000000 1.00000000000000000000
NODE_159_length_103001_cov_29.446078 15 13 Phialocephala Marssonina 5 4 .33333333333333333333 .26666666666666666666
NODE_15_length_530245_cov_33.731355 120 119 Phialocephala Coniosporium 8 7 .06666666666666666666 .05833333333333333333
NODE_160_length_102994_cov_29.913193 22 22 Phialocephala Marssonina 8 5 .36363636363636363636 .22727272727272727272
NODE_161_length_102304_cov_29.781981 31 30 Phialocephala Marssonina 16 8 .51612903225806451612 .25806451612903225806
NODE_162_length_102165_cov_30.064711 20 20 Phialocephala Marssonina 7 5 .35000000000000000000 .25000000000000000000
NODE_1644_length_18811_cov_34.083369 6 6 Phialocephala Phialocephala 6 6 1.00000000000000000000 1.00000000000000000000
NODE_1648_length_18768_cov_88.277697 5 4 Phialocephala Marssonina 3 1 .60000000000000000000 .20000000000000000000
NODE_164_length_101761_cov_29.364752 27 25 Phialocephala Marssonina 17 4 .62962962962962962962 .14814814814814814814
NODE_1650_length_18752_cov_30.293493 4 4 Phialocephala Marssonina 3 1 .75000000000000000000 .25000000000000000000
NODE_1655_length_18735_cov_86.354811 1 1 Coccidioides Coccidioides 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1656_length_18730_cov_38.112788 2 2 Phialocephala Marssonina 1 1 .50000000000000000000 .50000000000000000000
NODE_165_length_100953_cov_31.520666 13 13 Phialocephala Marssonina 7 3 .53846153846153846153 .23076923076923076923
NODE_1660_length_18680_cov_23.578114 5 5 Phialocephala Marssonina 3 2 .60000000000000000000 .40000000000000000000
NODE_1665_length_18659_cov_33.337287 2 2 Marssonina Coniosporium 1 1 .50000000000000000000 .50000000000000000000
NODE_1666_length_18653_cov_38.891921 3 3 Xylona Nectria 1 1 .33333333333333333333 .33333333333333333333
NODE_1669_length_18623_cov_29.569901 3 3 Phialocephala Marssonina 2 1 .66666666666666666666 .33333333333333333333
NODE_166_length_100146_cov_31.030259 14 12 Phialocephala Talaromyces 8 1 .57142857142857142857 .07142857142857142857
NODE_1674_length_18533_cov_36.014005 4 3 Phialocephala Fusarium 2 1 .50000000000000000000 .25000000000000000000
NODE_167_length_99881_cov_31.586238 25 25 Phialocephala Marssonina 12 6 .48000000000000000000 .24000000000000000000
NODE_1683_length_18476_cov_32.271331 2 2 Phialocephala Leptosphaeria 1 1 .50000000000000000000 .50000000000000000000
NODE_168_length_99778_cov_30.092057 32 32 Phialocephala Marssonina 24 4 .75000000000000000000 .12500000000000000000
NODE_169_length_99707_cov_31.461635 25 24 Phialocephala Marssonina 12 4 .48000000000000000000 .16000000000000000000
NODE_16_length_486161_cov_33.534396 95 93 Xylona Coniosporium 10 6 .10526315789473684210 .06315789473684210526
NODE_170_length_98897_cov_29.517492 17 17 Phialocephala Marssonina 10 4 .58823529411764705882 .23529411764705882352
NODE_1715_length_18139_cov_29.094852 1 1 Marssonina Marssonina 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1717_length_18073_cov_29.008629 4 4 Phialocephala Marssonina 2 2 .50000000000000000000 .50000000000000000000
NODE_171_length_98820_cov_29.133909 17 16 Phialocephala Marssonina 10 3 .58823529411764705882 .17647058823529411764
NODE_17387_length_2493_cov_43.807725 1 1 Phaeosphaeria Phaeosphaeria 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1739_length_17877_cov_30.468367 3 3 Phialocephala Sclerotinia 2 1 .66666666666666666666 .33333333333333333333
NODE_173_length_98628_cov_29.775897 23 22 Phialocephala Marssonina 18 2 .78260869565217391304 .08695652173913043478
NODE_1743_length_17861_cov_30.877239 2 2 Sclerotinia Phialocephala 1 1 .50000000000000000000 .50000000000000000000
NODE_1746_length_17843_cov_42.055888 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1747_length_17832_cov_29.859376 5 5 Phialocephala Phialocephala 5 5 1.00000000000000000000 1.00000000000000000000
NODE_174_length_97363_cov_30.037593 29 29 Phialocephala Marssonina 16 7 .55172413793103448275 .24137931034482758620
NODE_1750_length_17784_cov_28.274430 2 2 Sclerotinia Pseudogymnoascus 1 1 .50000000000000000000 .50000000000000000000
NODE_1754_length_17764_cov_28.671727 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1763_length_17683_cov_29.652804 5 5 Phialocephala Marssonina 3 1 .60000000000000000000 .20000000000000000000
NODE_1766_length_17647_cov_36.859318 4 4 Phialocephala Coniosporium 1 1 .25000000000000000000 .25000000000000000000
NODE_17680_length_2458_cov_61.053259 1 1 Cyphellophora Cyphellophora 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1768_length_17642_cov_33.124237 5 5 Verticillium Togninia 1 1 .20000000000000000000 .20000000000000000000
NODE_1771_length_17587_cov_29.514878 3 3 Phialocephala Paraphaeosphaeria 1 1 .33333333333333333333 .33333333333333333333
NODE_17750_length_2448_cov_47.567822 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1778_length_17523_cov_29.978635 2 2 Phialocephala Phialocephala 2 2 1.00000000000000000000 1.00000000000000000000
NODE_177_length_95856_cov_29.779310 17 17 Phialocephala Marssonina 10 6 .58823529411764705882 .35294117647058823529
NODE_1788_length_17476_cov_29.617391 4 4 Glarea Botryotinia 3 1 .75000000000000000000 .25000000000000000000
NODE_178_length_95205_cov_33.336541 14 14 Coniosporium Xylona 2 1 .14285714285714285714 .07142857142857142857
NODE_1795_length_17411_cov_31.785087 4 3 Sclerotinia Phialocephala 1 1 .25000000000000000000 .25000000000000000000
NODE_1797_length_17392_cov_33.584225 2 2 Phialocephala Glarea 1 1 .50000000000000000000 .50000000000000000000
NODE_1799_length_17381_cov_32.406659 2 2 Phialocephala Marssonina 1 1 .50000000000000000000 .50000000000000000000
NODE_17_length_453372_cov_34.017652 90 90 Coniosporium Phialocephala 7 6 .07777777777777777777 .06666666666666666666
NODE_1800_length_17374_cov_34.280832 3 3 Phialocephala Phialocephala 3 3 1.00000000000000000000 1.00000000000000000000
NODE_1803_length_17362_cov_31.121906 4 3 Phialocephala Glarea 2 1 .50000000000000000000 .25000000000000000000
NODE_1807_length_17348_cov_30.154377 3 3 Phialocephala Marssonina 2 1 .66666666666666666666 .33333333333333333333
NODE_180_length_93720_cov_30.714921 24 24 Phialocephala Marssonina 15 4 .62500000000000000000 .16666666666666666666
NODE_1813_length_17297_cov_29.827592 5 5 Phialocephala Marssonina 2 2 .40000000000000000000 .40000000000000000000
NODE_181_length_93433_cov_33.482630 14 14 Phialocephala Marssonina 7 3 .50000000000000000000 .21428571428571428571
NODE_1828_length_17176_cov_41.445122 3 3 Sphaerulina Penicillium 1 1 .33333333333333333333 .33333333333333333333
NODE_182_length_93187_cov_30.227921 24 23 Phialocephala Glarea 16 4 .66666666666666666666 .16666666666666666666
NODE_1834_length_17088_cov_33.509336 1 1 Phialocephala Phialocephala 1 1 1.00000000000000000000 1.00000000000000000000
NODE_1835_length_17075_cov_29.526114 4 4 Talaromyces Phialocephala 1 1 .25000000000000000000 .25000000000000000000
NODE_1838_length_17052_cov_29.147453 2 2 Phialocephala Marssonina 1 1 .50000000000000000000 .50000000000000000000
NODE_183_length_92720_cov_30.015711 29 28 Phialocephala Marssonina 11 11 .37931034482758620689 .37931034482758620689
NODE_184_length_92631_cov_34.258074 17 17 Xylona Coccidioides 4 3 .23529411764705882352 .17647058823529411764
NODE_1857_length_16903_cov_53.803776 2 2 Exophiala Aureobasidium 1 1 .50000000000000000000 .50000000000000000000
NODE_185_length_92613_cov_30.427612 15 15 Phialocephala Marssonina 6 3 .40000000000000000000 .20000000000000000000
NODE_1867_length_16780_cov_29.614194 6 6 Marssonina Phialocephala 3 2 .50000000000000000000 .33333333333333333333
NODE_1870_length_16765_cov_29.008587 2 1 Phialocephala Phialocephala 1 1 .50000000000000000000 .50000000000000000000
NODE_1872_length_16745_cov_66.690153 4 4 Ochroconis Leptosphaeria 1 1 .25000000000000000000 .25000000000000000000
